"","Zipcodes","Inquiries","Applied","Accepted"
"1","97236",39,10,2
"2","97203",76,36,25
"3","97005",30,8,3
"4","97007",190,56,11
"5","97056",29,16,9
"6","97015",52,16,4
"7","97111",7,3,2
"8","97123",100,18,4
"9","97114",5,2,1
"10","97034",37,15,5
"11","97330",84,19,5
"12","97068",62,23,8
"13","97701",81,17,2
"14","97216",31,9,2
"15","97213",56,17,7
"16","97230",71,31,6
"17","97071",44,6,1
"18","97420",19,5,2
"19","97504",92,24,4
"20","97089",30,12,3
"21","97030",56,12,2
"22","97306",42,14,3
"23","97006",140,45,7
"24","97362",11,2,1
"25","97370",22,7,1
"26","97222",50,18,3
"27","97405",106,30,1
"28","97045",73,27,9
"29","97520",50,12,3
"30","97601",17,10,2
"31","97215",24,7,3
"32","97502",46,11,1
"33","97070",52,21,3
"34","97702",68,12,3
"35","97206",91,26,2
"36","97223",95,23,8
"37","97124",111,32,5
"38","97086",73,34,6
"39","97478",40,8,1
"40","97013",28,6,3
"41","97501",46,16,4
"42","97338",31,7,1
"43","97221",18,6,1
"44","97233",38,15,2
"45","97103",15,5,1
"46","97317",31,4,2
"47","97064",8,4,1
"48","97109",1,1,1
"49","97225",47,16,6
"50","97385",7,4,2
"51","97305",63,14,4
"52","97603",28,7,1
"53","97212",45,11,4
"54","97137",1,1,1
"55","97404",45,12,3
"56","97381",25,10,2
"57","97229",161,71,14
"58","97031",28,6,4
"59","97080",76,24,6
"60","97035",57,20,4
"61","97067",2,1,1
"62","97477",48,10,1
"63","97008",68,28,5
"64","97415",21,8,1
"65","97367",6,1,1
"66","97055",33,10,3
"67","97303",50,9,2
"68","97267",41,21,5
"69","97358",2,2,1
"70","97862",13,1,1
"71","97232",11,4,1
"72","97038",12,6,3
"73","97401",85,21,2
"74","97527",38,4,2
"75","97470",54,16,4
"76","97053",9,1,1
"77","97402",47,14,1
"78","97209",4,2,1
"79","97060",33,15,3
"80","97302",65,19,4
"81","97017",4,1,1
"82","97741",19,4,1
"83","97128",35,13,3
"84","97110",1,1,1
"85","97218",22,4,1
"86","97408",36,18,6
"87","97217",40,9,1
"88","97219",75,9,2
"89","97488",2,1,1
"90","97266",50,12,1
"91","97914",14,2,1
"92","97220",37,17,3
"93","97801",27,3,1
"94","97135",1,1,1
"95","97759",20,3,1
"96","97224",86,14,1
"97","97202",55,9,1
"98","97828",3,3,1
"99","97062",76,18,1
"100","97454",6,2,1
"101","97138",10,6,1
"102","97530",18,4,1
"103","97058",31,12,1
"104","97051",22,7,1
"105","97459",18,6,1
"106","97720",10,2,1
"107","97304",41,11,1
"108","97383",12,2,1
"109","97116",40,13,1
"110","97214",13,6,1
"111","97413",3,2,1
"112","97526",59,10,0
"113","97113",29,4,0
"114","97331",5,1,0
"115","97023",14,3,0
"116","97532",9,2,0
"117","97756",47,11,0
"118","97019",5,2,0
"119","97301",49,8,0
"120","97201",24,4,0
"121","97391",10,1,0
"122","97540",10,6,0
"123","97850",9,2,0
"124","97321",42,7,0
"125","97814",11,4,0
"126","97437",4,1,0
"127","97132",38,10,0
"128","97239",29,7,0
"129","97210",9,1,0
"130","97633",1,1,0
"131","97424",35,6,0
"132","97419",4,2,0
"133","97355",31,4,0
"134","97360",1,1,0
"135","97032",5,1,0
"136","97281",3,2,0
"137","97333",23,3,0
"138","97813",4,1,0
"139","97211",52,14,0
"140","97293",1,1,0
"141","97049",2,1,0
"142","97486",2,1,0
"143","97040",3,1,0
"144","97366",3,3,0
"145","97027",17,5,0
"146","97537",6,1,0
"147","97431",3,1,0
"148","97495",1,1,0
"149","97844",7,2,0
"150","97231",7,1,0
"151","97836",17,1,0
"152","97365",21,4,0
"153","97525",5,1,0
"154","97290",2,1,0
"155","97076",1,1,0
"156","97119",6,1,0
"157","97133",16,2,0
"158","97760",10,1,0
"159","97024",14,5,0
"160","97487",11,3,0
"161","97140",26,5,0
"162","97022",8,1,0
"163","97294",1,1,0
"164","97322",27,2,0
"165","97411",10,2,0
"166","97269",3,2,0
"167","97396",6,5,0
"168","97498",4,1,0
"169","97730",1,1,0
"170","97439",14,2,0
"171","97146",9,2,0
"172","97535",10,2,0
"173","97106",7,2,0
"174","97524",23,4,0
"175","97528",1,1,0
"176","97403",18,6,0
"177","97041",5,3,0
"178","97754",20,2,0
"179","97451",2,1,0
"180","97838",37,3,0
"181","97205",5,1,0
"182","97361",13,2,0
"183","97471",7,3,0
"184","97280",2,1,0
"185","97494",1,1,0
"186","97009",11,2,0
"187","97523",6,1,0
"188","97479",13,1,0
"189","97026",5,1,0
"190","97812",2,1,0
"191","97141",12,1,0
"192","97348",3,1,0
"193","97065",2,1,0
"194","97826",1,1,0
"195","97115",5,2,0
"196","97394",3,2,0
"197","97444",4,1,0
"198","97417",5,1,0
"199","97430",1,1,0
"200","97707",3,2,0
"201","97107",1,1,0
"202","97753",4,1,0
"203","97002",11,1,0
"204","97227",5,2,0
"205","97020",1,1,0
"206","97450",4,1,0
"207","97386",12,1,0
"208","97426",9,1,0
"209","97538",3,0,0
"210","97292",1,0,0
"211","97461",1,0,0
"212","97913",5,0,0
"213","97042",6,0,0
