"","Zipcodes","Inquiries","Applied","Accepted","Enrolled"
"1","97002",4,2,1,1
"2","97004",8,1,0,0
"3","97005",27,10,1,1
"4","97006",125,44,11,11
"5","97007",165,58,11,10
"6","97008",51,15,5,5
"7","97009",8,5,0,0
"8","97010",1,0,0,0
"9","97011",1,1,0,0
"10","97013",19,8,3,3
"11","97014",1,0,0,0
"12","97015",20,8,2,2
"13","97016",8,2,0,0
"14","97017",3,0,0,0
"15","97018",2,0,0,0
"16","97019",6,4,1,1
"17","97020",1,0,0,0
"18","97021",3,1,0,0
"19","97022",6,4,1,1
"20","97023",11,4,0,0
"21","97024",3,1,0,0
"22","97026",1,0,0,0
"23","97027",10,5,2,2
"24","97030",38,12,1,1
"25","97031",23,11,2,2
"26","97032",5,1,0,0
"27","97034",31,19,1,1
"28","97035",26,15,4,4
"29","97037",3,0,0,0
"30","97038",8,3,0,0
"31","97041",3,1,1,1
"32","97042",1,1,0,0
"33","97044",1,1,0,0
"34","97045",65,25,3,3
"35","97048",13,6,1,1
"36","97051",17,6,2,2
"37","97053",9,6,1,1
"38","97054",2,0,0,0
"39","97055",19,6,1,1
"40","97056",13,7,5,5
"41","97058",15,4,0,0
"42","97060",12,4,0,0
"43","97062",46,14,5,5
"44","97063",1,0,0,0
"45","97064",2,1,0,0
"46","97065",1,1,0,0
"47","97067",3,2,0,0
"48","97068",45,21,7,7
"49","97070",23,7,3,3
"50","97071",22,6,1,1
"51","97075",1,0,0,0
"52","97080",45,21,5,4
"53","97086",54,30,9,9
"54","97089",17,9,0,0
"55","97101",2,2,0,0
"56","97103",16,4,0,0
"57","97106",9,6,0,0
"58","97107",2,0,0,0
"59","97110",1,1,0,0
"60","97111",2,0,0,0
"61","97112",1,1,1,1
"62","97113",12,5,0,0
"63","97114",7,2,1,1
"64","97115",3,1,0,0
"65","97116",22,9,1,1
"66","97117",2,2,0,0
"67","97119",5,1,1,1
"68","97121",1,0,0,0
"69","97123",59,27,6,6
"70","97124",51,22,4,4
"71","97127",1,1,0,0
"72","97128",38,11,2,2
"73","97130",1,0,0,0
"74","97131",3,1,0,0
"75","97132",36,20,3,3
"76","97133",7,4,2,2
"77","97136",2,1,0,0
"78","97137",2,2,1,1
"79","97138",10,5,1,1
"80","97140",31,13,3,3
"81","97141",13,1,1,1
"82","97146",5,2,0,0
"83","97147",1,0,0,0
"84","97148",9,1,0,0
"85","97201",27,14,6,6
"86","97202",38,14,2,2
"87","97203",48,31,19,19
"88","97204",1,0,0,0
"89","97205",3,1,0,0
"90","97206",48,20,5,5
"91","97207",2,1,0,0
"92","97208",1,0,0,0
"93","97209",17,8,3,3
"94","97210",12,5,0,0
"95","97211",26,7,0,0
"96","97212",24,10,4,4
"97","97213",35,15,1,1
"98","97214",14,6,4,4
"99","97215",13,7,3,3
"100","97216",18,8,1,1
"101","97217",32,14,4,4
"102","97218",24,11,1,1
"103","97219",55,16,1,1
"104","97220",46,23,5,5
"105","97221",17,9,2,2
"106","97222",28,13,2,2
"107","97223",87,27,3,3
"108","97224",47,17,6,6
"109","97225",39,17,3,3
"110","97227",4,2,0,0
"111","97229",130,49,8,8
"112","97230",48,17,3,3
"113","97231",10,4,1,1
"114","97232",8,1,1,1
"115","97233",25,11,2,2
"116","97236",36,17,4,4
"117","97239",13,7,2,2
"118","97240",1,0,0,0
"119","97266",33,17,2,2
"120","97267",27,12,3,3
"121","97269",1,1,0,0
"122","97280",1,0,0,0
"123","97281",4,2,0,0
"124","97283",1,1,1,1
"125","97292",1,1,0,0
"126","97294",2,1,1,1
"127","97301",37,8,0,0
"128","97302",59,24,5,5
"129","97303",23,5,0,0
"130","97304",45,14,4,4
"131","97305",32,9,0,0
"132","97306",34,13,2,2
"133","97309",2,0,0,0
"134","97310",1,0,0,0
"135","97317",24,3,1,1
"136","97321",32,5,1,1
"137","97322",17,5,0,0
"138","97324",1,0,0,0
"139","97325",9,1,1,1
"140","97330",70,21,2,2
"141","97331",1,0,0,0
"142","97333",34,9,0,0
"143","97338",11,1,0,0
"144","97346",1,0,0,0
"145","97347",1,0,0,0
"146","97348",1,0,0,0
"147","97351",12,5,0,0
"148","97352",6,1,0,0
"149","97355",17,2,0,0
"150","97358",1,0,0,0
"151","97360",5,2,0,0
"152","97361",8,3,0,0
"153","97362",2,0,0,0
"154","97364",1,0,0,0
"155","97365",12,6,0,0
"156","97367",5,4,0,0
"157","97368",4,1,0,0
"158","97370",18,10,0,0
"159","97374",4,1,0,0
"160","97375",1,0,0,0
"161","97376",1,0,0,0
"162","97377",1,0,0,0
"163","97378",7,3,2,2
"164","97380",2,1,1,1
"165","97381",25,7,2,2
"166","97383",16,2,1,1
"167","97385",10,1,0,0
"168","97386",8,0,0,0
"169","97388",1,0,0,0
"170","97389",1,0,0,0
"171","97391",8,1,0,0
"172","97392",2,0,0,0
"173","97394",2,0,0,0
"174","97401",64,18,3,3
"175","97402",40,6,2,2
"176","97403",12,5,0,0
"177","97404",39,17,2,2
"178","97405",74,29,7,7
"179","97408",27,13,2,2
"180","97411",9,1,0,0
"181","97415",8,3,1,1
"182","97416",1,0,0,0
"183","97417",1,0,0,0
"184","97419",1,0,0,0
"185","97420",24,5,1,1
"186","97423",2,1,0,0
"187","97424",21,3,0,0
"188","97426",9,0,0,0
"189","97427",1,0,0,0
"190","97429",1,0,0,0
"191","97431",4,1,0,0
"192","97435",3,1,0,0
"193","97437",1,0,0,0
"194","97438",3,0,0,0
"195","97439",4,2,0,0
"196","97442",2,1,0,0
"197","97443",2,0,0,0
"198","97444",5,0,0,0
"199","97448",10,5,0,0
"200","97449",3,0,0,0
"201","97450",2,0,0,0
"202","97453",2,1,0,0
"203","97454",2,0,0,0
"204","97455",1,1,0,0
"205","97456",3,0,0,0
"206","97457",2,1,0,0
"207","97458",4,1,0,0
"208","97459",31,4,0,0
"209","97462",3,0,0,0
"210","97463",1,0,0,0
"211","97465",1,0,0,0
"212","97467",2,1,0,0
"213","97469",1,0,0,0
"214","97470",43,15,2,2
"215","97471",4,0,0,0
"216","97477",40,4,1,1
"217","97478",31,7,0,0
"218","97479",9,0,0,0
"219","97480",1,0,0,0
"220","97487",2,0,0,0
"221","97489",1,0,0,0
"222","97491",1,0,0,0
"223","97494",1,1,0,0
"224","97495",1,0,0,0
"225","97496",5,2,1,1
"226","97497",2,0,0,0
"227","97498",1,1,0,0
"228","97499",1,0,0,0
"229","97501",27,7,0,0
"230","97502",18,3,1,1
"231","97503",2,1,1,1
"232","97504",81,32,6,5
"233","97520",43,15,2,2
"234","97522",1,0,0,0
"235","97523",8,0,0,0
"236","97524",8,0,0,0
"237","97525",6,1,0,0
"238","97526",52,7,1,1
"239","97527",27,5,0,0
"240","97528",1,0,0,0
"241","97530",9,5,0,0
"242","97532",7,1,1,1
"243","97533",3,1,1,1
"244","97534",1,0,0,0
"245","97535",5,1,0,0
"246","97536",1,0,0,0
"247","97537",6,0,0,0
"248","97538",3,0,0,0
"249","97539",1,0,0,0
"250","97540",7,2,0,0
"251","97541",2,0,0,0
"252","97544",4,1,0,0
"253","97601",20,4,1,1
"254","97603",34,5,0,0
"255","97623",1,0,0,0
"256","97624",1,0,0,0
"257","97627",1,0,0,0
"258","97630",2,0,0,0
"259","97632",2,1,0,0
"260","97701",62,26,3,3
"261","97702",45,18,1,1
"262","97707",4,2,0,0
"263","97709",1,0,0,0
"264","97720",7,1,1,1
"265","97734",3,1,0,0
"266","97737",1,0,0,0
"267","97739",3,0,0,0
"268","97741",22,2,0,0
"269","97753",2,0,0,0
"270","97754",11,3,2,2
"271","97756",16,4,1,1
"272","97759",11,3,0,0
"273","97760",5,2,0,0
"274","97761",2,0,0,0
"275","97801",40,18,0,0
"276","97813",3,1,0,0
"277","97814",9,4,2,2
"278","97818",2,0,0,0
"279","97820",1,0,0,0
"280","97823",4,1,0,0
"281","97824",1,0,0,0
"282","97827",1,1,0,0
"283","97828",1,1,0,0
"284","97830",1,0,0,0
"285","97835",1,1,0,0
"286","97836",2,1,0,0
"287","97838",32,13,2,2
"288","97843",2,2,0,0
"289","97844",5,0,0,0
"290","97845",4,0,0,0
"291","97846",3,0,0,0
"292","97850",20,9,2,2
"293","97862",8,1,0,0
"294","97868",2,0,0,0
"295","97875",5,1,0,0
"296","97882",3,1,0,0
"297","97883",2,1,0,0
"298","97884",1,0,0,0
"299","97885",3,0,0,0
"300","97901",3,1,0,0
"301","97910",2,0,0,0
"302","97913",2,1,0,0
"303","97914",18,2,0,0
"304","97918",5,1,0,0
