"","Zipcodes","Inquiries","Applied","Accepted"
"1","97504",99,32,7
"2","97124",86,37,11
"3","97367",8,6,3
"4","97009",21,5,2
"5","97701",126,25,4
"6","97223",118,39,14
"7","97229",160,68,26
"8","97113",46,11,4
"9","97068",62,26,9
"10","97325",7,3,2
"11","97420",38,6,1
"12","97086",69,30,13
"13","97225",47,16,7
"14","97045",87,33,12
"15","97302",71,24,8
"16","97034",52,18,6
"17","97007",249,77,23
"18","97201",23,9,1
"19","97405",111,25,7
"20","97217",37,7,1
"21","97230",69,26,9
"22","97301",61,14,4
"23","97060",41,13,3
"24","97080",75,27,12
"25","97016",9,3,1
"26","97224",69,19,5
"27","97524",26,5,3
"28","97038",18,5,2
"29","97304",55,13,6
"30","97015",43,18,7
"31","97221",31,10,3
"32","97013",45,16,8
"33","97214",21,6,5
"34","97023",25,11,3
"35","97123",79,25,8
"36","97203",55,15,7
"37","97041",9,6,2
"38","97266",64,18,5
"39","97330",102,26,4
"40","97404",47,13,5
"41","97006",135,57,14
"42","97204",1,1,1
"43","97216",21,7,2
"44","97838",34,9,7
"45","97031",36,12,5
"46","97603",18,3,1
"47","97220",51,19,4
"48","97292",2,1,1
"49","97005",42,15,6
"50","97115",15,5,1
"51","97128",43,12,5
"52","97116",47,9,3
"53","97520",51,13,5
"54","97056",24,7,4
"55","97202",41,17,3
"56","97402",56,11,3
"57","97239",23,8,2
"58","97709",2,1,1
"59","97306",48,13,6
"60","97112",8,3,1
"61","97055",40,13,3
"62","97211",58,16,3
"63","97219",84,24,8
"64","97215",38,12,3
"65","97231",5,3,1
"66","97436",1,1,1
"67","97530",18,6,3
"68","97111",3,1,1
"69","97062",72,22,5
"70","97321",35,7,4
"71","97439",16,5,2
"72","97459",33,4,2
"73","97501",53,11,4
"74","97801",20,8,2
"75","97846",1,1,1
"76","97415",20,2,1
"77","97401",64,22,6
"78","97213",54,23,4
"79","97702",84,17,2
"80","97103",37,9,2
"81","97008",73,22,6
"82","97303",59,18,8
"83","97051",30,11,5
"84","97218",29,9,3
"85","97431",2,1,1
"86","97478",69,16,3
"87","97212",42,7,4
"88","97089",34,11,4
"89","97053",10,1,1
"90","97267",41,17,3
"91","97756",52,13,3
"92","97424",23,4,1
"93","97071",44,12,3
"94","97070",38,12,6
"95","97132",51,16,3
"96","97465",2,1,1
"97","97017",1,1,1
"98","97381",34,10,2
"99","97206",66,19,2
"100","97232",13,5,2
"101","97236",50,14,9
"102","97630",2,2,1
"103","97471",15,6,3
"104","97818",2,2,0
"105","97024",11,3,0
"106","97383",9,2,0
"107","97477",55,8,0
"108","97030",44,11,2
"109","97914",18,5,1
"110","97048",16,5,0
"111","97486",4,1,0
"112","97140",51,16,2
"113","97019",5,3,1
"114","97438",3,1,0
"115","97222",48,11,2
"116","97233",43,13,0
"117","97281",1,1,0
"118","97305",50,8,2
"119","97759",15,7,2
"120","97324",2,1,0
"121","97527",36,6,1
"122","97882",3,2,0
"123","97149",1,1,0
"124","97403",25,6,2
"125","97495",5,2,1
"126","97138",10,5,0
"127","97317",36,8,2
"128","97502",49,9,0
"129","97338",17,2,0
"130","97391",9,3,0
"131","97479",16,3,0
"132","97437",5,1,0
"133","97027",14,4,0
"134","97371",1,1,0
"135","97386",13,2,0
"136","97209",11,1,0
"137","97114",7,3,0
"138","97850",14,2,0
"139","97365",11,2,0
"140","97333",30,7,2
"141","97058",8,2,1
"142","97101",7,1,0
"143","97526",52,4,0
"144","97754",15,3,1
"145","97457",15,1,0
"146","97408",29,10,2
"147","97355",52,7,0
"148","97426",13,3,0
"149","97845",1,1,0
"150","97448",9,1,0
"151","97049",3,2,0
"152","97496",7,2,0
"153","97020",1,1,0
"154","97362",8,5,1
"155","97119",10,4,0
"156","97467",6,1,0
"157","97146",6,1,0
"158","97708",9,3,0
"159","97452",3,1,0
"160","97739",11,1,0
"161","97753",4,1,0
"162","97707",11,2,0
"163","97106",10,6,1
"164","97503",10,2,0
"165","97368",3,1,1
"166","97121",1,1,1
"167","97035",61,18,5
"168","97862",5,1,1
"169","97823",1,1,1
"170","97032",6,3,1
"171","97227",7,2,1
"172","97322",17,3,1
"173","97470",44,2,1
"174","97002",5,1,1
"175","97004",7,2,2
"176","97141",20,5,2
"177","97137",4,2,1
"178","97525",11,4,0
"179","97294",3,1,0
"180","97444",7,1,0
"181","97360",4,2,0
"182","97836",13,1,0
"183","97378",9,4,0
"184","97042",6,1,0
"185","97148",4,2,0
"186","97454",1,1,0
"187","97537",7,2,0
"188","97344",1,1,0
"189","97489",3,1,0
"190","97026",5,1,0
"191","97374",10,1,0
"192","97760",6,2,0
"193","97067",4,2,0
"194","97133",9,3,0
"195","97370",12,3,0
"196","97601",7,2,0
"197","97540",14,2,0
"198","97385",5,1,0
"199","97290",1,1,0
"200","97488",2,1,0
"201","97396",7,2,0
"202","97022",6,1,0
"203","97331",2,1,0
"204","97497",1,1,0
"205","97814",6,1,0
"206","97417",7,1,0
"207","97210",7,1,0
"208","97205",5,1,0
"209","97535",9,1,0
"210","97127",4,1,0
"211","97455",2,1,0
"212","97423",4,0,0
"213","97812",1,0,0
"214","97523",4,0,0
"215","97844",5,0,0
"216","97541",1,0,0
"217","97539",4,0,0
"218","97487",10,0,0
"219","97741",11,0,0
"220","97918",2,0,0
"221","97531",2,0,0
"222","97366",2,0,0
"223","97443",2,0,0
"224","97352",4,0,0
"225","97014",2,0,0
"226","97307",2,0,0
"227","97449",3,0,0
"228","97389",2,0,0
"229","97536",3,0,0
"230","97469",4,0,0
"231","97442",4,0,0
"232","97347",3,0,0
"233","97411",20,0,0
"234","97839",1,0,0
"235","97358",1,0,0
"236","97453",3,0,0
"237","97522",2,0,0
"238","97434",1,0,0
"239","97458",2,0,0
"240","97462",3,0,0
"241","97392",2,0,0
"242","97827",1,0,0
"243","97361",16,0,0
"244","97868",2,0,0
"245","97419",1,0,0
"246","97343",1,0,0
"247","97532",5,0,0
"248","97131",1,0,0
"249","97327",5,0,0
"250","97528",1,0,0
"251","97734",3,0,0
"252","97733",1,0,0
"253","97394",3,0,0
"254","97339",1,0,0
"255","97122",3,0,0
"256","97538",4,0,0
"257","97761",2,0,0
"258","97869",1,0,0
"259","97456",4,0,0
"260","97738",4,0,0
"261","97636",1,0,0
"262","97075",1,0,0
"263","97044",2,0,0
"264","97875",2,0,0
"265","97446",2,0,0
"266","97384",1,0,0
"267","97021",3,0,0
"268","97476",1,0,0
"269","97412",1,0,0
"270","97410",1,0,0
"271","97732",1,0,0
"272","97351",5,0,0
"273","97064",1,0,0
"274","97737",1,0,0
"275","97498",3,0,0
"276","97208",1,0,0
"277","97463",3,0,0
"278","97848",1,0,0
"279","97820",2,0,0
"280","97640",1,0,0
"281","97830",1,0,0
"282","97283",1,0,0
"283","97908",1,0,0
"284","97136",1,0,0
"285","97435",1,0,0
"286","97065",2,0,0
"287","97076",1,0,0
"288","97341",1,0,0
"289","97429",1,0,0
"290","97461",1,0,0
"291","97632",1,0,0
"292","97268",1,0,0
"293","97883",1,0,0
"294","97810",1,0,0
"295","97905",1,0,0
"296","97357",1,0,0
"297","97623",1,0,0
"298","97720",3,0,0
"299","97913",1,0,0
"300","97011",1,0,0
"301","97813",1,0,0
"302","97826",2,0,0
"303","97627",1,0,0
"304","97135",1,0,0
"305","97906",1,0,0
"306","97110",1,0,0
"307","97450",1,0,0
"308","97280",1,0,0
"309","97867",1,0,0
