"","Zipcodes","Inquiries","Applied","Accepted","Enrolled"
"130","98251",2,1,1,0
"131","98252",7,2,0,0
"132","98253",1,0,0,0
"133","98255",1,0,0,0
"134","98257",6,0,0,0
"135","98258",23,6,1,1
"136","98260",10,5,0,0
"137","98261",3,1,0,0
"138","98264",19,5,1,0
"139","98266",5,2,0,0
"140","98267",1,1,1,0
"141","98270",39,6,2,1
"142","98271",19,3,1,0
"143","98272",31,8,0,0
"144","98273",28,4,2,0
"145","98274",17,4,2,0
"146","98275",56,22,4,1
"147","98277",41,12,2,1
"148","98281",1,0,0,0
"149","98282",17,1,0,0
"150","98283",1,1,0,0
"151","98284",24,2,0,0
"152","98290",35,16,5,2
"153","98291",2,1,0,0
"154","98292",28,10,3,1
"155","98293",1,0,0,0
"156","98294",4,1,0,0
"157","98295",1,0,0,0
"158","98296",49,15,5,1
"159","98303",2,1,0,0
"160","98310",23,6,0,0
"161","98311",36,13,3,1
"162","98312",33,10,2,1
"163","98315",1,1,0,0
"164","98321",17,4,1,1
"165","98322",1,0,0,0
"166","98323",1,0,0,0
"167","98325",1,1,0,0
"168","98327",7,2,0,0
"169","98328",14,3,0,0
"170","98329",9,4,0,0
"171","98331",1,1,0,0
"172","98332",25,9,2,1
"173","98333",17,8,4,4
"174","98335",63,20,8,4
"175","98336",4,0,0,0
"176","98337",9,1,0,0
"177","98338",33,8,2,1
"178","98339",3,0,0,0
"179","98340",3,0,0,0
"180","98342",1,0,0,0
"181","98346",17,6,1,0
"182","98349",3,1,0,0
"183","98350",1,0,0,0
"184","98353",1,1,0,0
"185","98354",11,6,3,1
"186","98355",2,0,0,0
"187","98356",1,0,0,0
"188","98357",2,0,0,0
"189","98358",1,1,0,0
"190","98359",10,3,0,0
"191","98360",6,0,0,0
"192","98361",2,0,0,0
"193","98362",20,3,0,0
"194","98363",8,4,0,0
"195","98365",2,1,0,0
"196","98366",31,11,2,1
"197","98367",28,6,3,1
"198","98368",38,6,3,1
"199","98370",56,21,4,3
"200","98371",28,13,5,0
"201","98372",27,7,0,0
"202","98373",29,8,0,0
"203","98374",57,22,3,0
"204","98375",45,12,0,0
"205","98377",3,1,0,0
"206","98380",8,2,0,0
"207","98382",30,4,1,0
"208","98383",59,15,4,0
"209","98384",4,1,0,0
"210","98386",1,1,0,0
"211","98387",38,8,1,0
"212","98388",17,4,2,0
"213","98390",13,4,1,1
"214","98391",79,22,5,2
"215","98392",3,1,0,0
"216","98393",2,1,0,0
"217","98394",2,0,0,0
"218","98403",17,6,1,0
"219","98404",26,3,1,0
"220","98405",19,6,0,0
"221","98406",43,11,2,1
"222","98407",39,16,4,2
"223","98408",24,11,1,0
"224","98409",20,8,0,0
"225","98411",1,1,0,0
"226","98412",2,1,0,0
"227","98415",2,0,0,0
"228","98417",1,1,0,0
"229","98418",3,2,0,0
"230","98419",1,0,0,0
"231","98422",33,11,2,2
"232","98424",6,2,2,1
"233","98433",6,0,0,0
"234","98439",4,1,0,0
"235","98443",7,2,1,0
"236","98444",29,2,0,0
"237","98445",24,2,2,0
"238","98446",15,3,0,0
"239","98448",2,1,0,0
"240","98464",2,0,0,0
"241","98465",12,6,1,0
"242","98466",56,26,4,0
"243","98467",43,12,4,2
"244","98496",1,1,0,0
"245","98498",40,12,1,0
"246","98499",25,7,1,0
"247","98501",94,36,16,3
"248","98502",58,21,5,1
"249","98503",34,3,0,0
"250","98505",2,1,0,0
"251","98506",34,13,2,0
"252","98507",4,0,0,0
"253","98508",1,0,0,0
"254","98509",4,2,0,0
"255","98512",39,12,3,0
"256","98513",47,13,2,0
"257","98516",28,7,0,0
"258","98520",27,5,1,1
"259","98524",7,2,0,0
"260","98528",18,9,0,0
"261","98531",22,7,2,1
"262","98532",12,1,0,0
"263","98536",1,0,0,0
"264","98537",2,0,0,0
"265","98540",1,0,0,0
"266","98541",3,0,0,0
"267","98542",1,1,0,0
"268","98547",1,0,0,0
"269","98550",17,3,0,0
"270","98554",1,1,0,0
"271","98558",1,0,0,0
"272","98559",1,0,0,0
"273","98563",8,2,0,0
"274","98564",4,1,0,0
"275","98565",3,0,0,0
"276","98568",2,0,0,0
"277","98569",1,0,0,0
"278","98570",4,4,0,0
"279","98576",8,3,0,0
"280","98577",6,0,0,0
"281","98579",4,0,0,0
"282","98580",11,4,1,0
"283","98582",2,0,0,0
"284","98584",12,3,0,0
"285","98586",2,0,0,0
"286","98588",4,0,0,0
"287","98589",9,5,1,0
"288","98590",1,0,0,0
"289","98591",6,3,0,0
"290","98593",4,0,0,0
"291","98595",4,0,0,0
"292","98596",10,3,0,0
"293","98597",14,5,0,0
"294","98601",3,0,0,0
"295","98603",1,0,0,0
"296","98604",35,15,6,4
"297","98605",1,0,0,0
"298","98606",25,10,3,1
"299","98607",43,14,5,2
"300","98610",4,2,0,0
"301","98611",10,2,0,0
"302","98612",3,2,0,0
"303","98613",1,1,1,1
"304","98617",2,0,0,0
"305","98619",1,0,0,0
"306","98620",7,1,0,0
"307","98623",1,0,0,0
