"","Zipcodes","Inquiries","Applied","Accepted","Enrolled"
"1","97002",11,1,0,0
"2","97004",8,0,0,0
"3","97005",30,8,3,3
"4","97006",140,45,7,7
"5","97007",190,56,11,11
"6","97008",68,28,5,5
"7","97009",11,2,0,0
"8","97013",28,6,3,3
"9","97014",1,0,0,0
"10","97015",52,16,4,4
"11","97016",3,0,0,0
"12","97017",4,1,1,1
"13","97019",5,2,0,0
"14","97020",1,1,0,0
"15","97022",8,1,0,0
"16","97023",14,3,0,0
"17","97024",14,5,0,0
"18","97026",5,1,0,0
"19","97027",17,5,0,0
"20","97029",1,0,0,0
"21","97030",56,12,2,2
"22","97031",28,6,4,4
"23","97032",5,1,0,0
"24","97034",37,15,5,5
"25","97035",57,20,4,4
"26","97037",2,0,0,0
"27","97038",12,6,3,3
"28","97040",3,1,0,0
"29","97041",5,3,0,0
"30","97042",6,0,0,0
"31","97045",73,27,9,9
"32","97048",8,0,0,0
"33","97049",2,1,0,0
"34","97051",22,7,1,1
"35","97053",9,1,1,1
"36","97054",1,0,0,0
"37","97055",33,10,3,3
"38","97056",29,16,9,9
"39","97058",31,12,1,1
"40","97060",33,15,3,3
"41","97062",76,18,1,1
"42","97064",8,4,1,1
"43","97065",2,1,0,0
"44","97067",2,1,1,1
"45","97068",62,23,8,8
"46","97070",52,21,3,3
"47","97071",44,6,1,1
"48","97075",1,0,0,0
"49","97076",1,1,0,0
"50","97080",76,24,6,6
"51","97086",73,34,6,6
"52","97089",30,12,3,3
"53","97101",2,0,0,0
"54","97103",15,5,1,1
"55","97106",7,2,0,0
"56","97107",1,1,0,0
"57","97108",1,0,0,0
"58","97109",1,1,1,1
"59","97110",1,1,1,1
"60","97111",7,3,2,2
"61","97113",29,4,0,0
"62","97114",5,2,1,1
"63","97115",5,2,0,0
"64","97116",40,13,1,1
"65","97119",6,1,0,0
"66","97121",2,0,0,0
"67","97123",100,18,4,4
"68","97124",111,32,5,5
"69","97127",3,0,0,0
"70","97128",35,13,3,3
"71","97132",38,10,0,0
"72","97133",16,2,0,0
"73","97135",1,1,1,1
"74","97136",1,0,0,0
"75","97137",1,1,1,1
"76","97138",10,6,1,1
"77","97140",26,5,0,0
"78","97141",12,1,0,0
"79","97143",1,0,0,0
"80","97146",9,2,0,0
"81","97148",4,0,0,0
"82","97149",1,0,0,0
"83","97201",24,4,0,0
"84","97202",55,9,1,1
"85","97203",76,36,25,25
"86","97204",1,0,0,0
"87","97205",5,1,0,0
"88","97206",91,26,2,2
"89","97208",1,0,0,0
"90","97209",4,2,1,1
"91","97210",9,1,0,0
"92","97211",52,14,0,0
"93","97212",45,11,4,4
"94","97213",56,17,7,7
"95","97214",13,6,1,1
"96","97215",24,7,3,3
"97","97216",31,9,2,2
"98","97217",40,9,1,1
"99","97218",22,4,1,1
"100","97219",75,9,2,2
"101","97220",37,17,3,3
"102","97221",18,6,1,1
"103","97222",50,18,3,3
"104","97223",95,23,8,8
"105","97224",86,14,1,1
"106","97225",47,16,6,6
"107","97227",5,2,0,0
"108","97229",161,71,14,14
"109","97230",71,31,6,6
"110","97231",7,1,0,0
"111","97232",11,4,1,1
"112","97233",38,15,2,2
"113","97236",39,10,2,2
"114","97239",29,7,0,0
"115","97266",50,12,1,1
"116","97267",41,21,5,5
"117","97269",3,2,0,0
"118","97280",2,1,0,0
"119","97281",3,2,0,0
"120","97282",1,0,0,0
"121","97286",1,0,0,0
"122","97290",2,1,0,0
"123","97292",1,0,0,0
"124","97293",1,1,0,0
"125","97294",1,1,0,0
"126","97298",1,0,0,0
"127","97301",49,8,0,0
"128","97302",65,19,4,4
"129","97303",50,9,2,2
"130","97304",41,11,1,1
"131","97305",63,14,4,4
"132","97306",42,14,3,3
"133","97308",1,0,0,0
"134","97309",1,0,0,0
"135","97317",31,4,2,2
"136","97321",42,7,0,0
"137","97322",27,2,0,0
"138","97325",10,0,0,0
"139","97326",2,0,0,0
"140","97327",7,0,0,0
"141","97330",84,19,5,5
"142","97331",5,1,0,0
"143","97333",23,3,0,0
"144","97336",1,0,0,0
"145","97338",31,7,1,1
"146","97339",1,0,0,0
"147","97343",2,0,0,0
"148","97347",2,0,0,0
"149","97348",3,1,0,0
"150","97351",8,0,0,0
"151","97352",5,0,0,0
"152","97355",31,4,0,0
"153","97358",2,2,1,1
"154","97360",1,1,0,0
"155","97361",13,2,0,0
"156","97362",11,2,1,1
"157","97364",1,0,0,0
"158","97365",21,4,0,0
"159","97366",3,3,0,0
"160","97367",6,1,1,1
"161","97368",1,0,0,0
"162","97370",22,7,1,1
"163","97371",2,0,0,0
"164","97374",4,0,0,0
"165","97375",1,0,0,0
"166","97376",2,0,0,0
"167","97378",8,0,0,0
"168","97380",2,0,0,0
"169","97381",25,10,2,2
"170","97383",12,2,1,1
"171","97384",1,0,0,0
"172","97385",7,4,2,2
"173","97386",12,1,0,0
"174","97389",1,0,0,0
"175","97391",10,1,0,0
"176","97392",12,0,0,0
"177","97394",3,2,0,0
"178","97396",6,5,0,0
"179","97401",85,21,2,2
"180","97402",47,14,1,1
"181","97403",18,6,0,0
"182","97404",45,12,3,3
"183","97405",106,30,1,1
"184","97408",36,18,6,6
"185","97411",10,2,0,0
"186","97413",3,2,1,1
"187","97414",1,0,0,0
"188","97415",21,8,1,1
"189","97416",2,0,0,0
"190","97417",5,1,0,0
"191","97419",4,2,0,0
"192","97420",19,5,2,2
"193","97423",4,0,0,0
"194","97424",35,6,0,0
"195","97426",9,1,0,0
"196","97430",1,1,0,0
"197","97431",3,1,0,0
"198","97434",1,0,0,0
"199","97436",4,0,0,0
"200","97437",4,1,0,0
"201","97438",1,0,0,0
"202","97439",14,2,0,0
"203","97440",1,0,0,0
"204","97443",2,0,0,0
"205","97444",4,1,0,0
"206","97446",6,0,0,0
"207","97448",14,0,0,0
"208","97449",1,0,0,0
"209","97450",4,1,0,0
"210","97451",2,1,0,0
"211","97452",2,0,0,0
"212","97454",6,2,1,1
"213","97455",5,0,0,0
"214","97456",1,0,0,0
"215","97457",7,0,0,0
"216","97458",2,0,0,0
"217","97459",18,6,1,1
"218","97461",1,0,0,0
"219","97462",6,0,0,0
"220","97463",4,0,0,0
"221","97465",1,0,0,0
"222","97467",2,0,0,0
"223","97469",2,0,0,0
"224","97470",54,16,4,4
"225","97471",7,3,0,0
"226","97473",1,0,0,0
"227","97477",48,10,1,1
"228","97478",40,8,1,1
"229","97479",13,1,0,0
"230","97481",1,0,0,0
"231","97486",2,1,0,0
"232","97487",11,3,0,0
"233","97488",2,1,1,1
"234","97489",4,0,0,0
"235","97494",1,1,0,0
"236","97495",1,1,0,0
"237","97496",7,0,0,0
"238","97497",2,0,0,0
"239","97498",4,1,0,0
"240","97501",46,16,4,4
"241","97502",46,11,1,1
"242","97503",9,0,0,0
"243","97504",92,24,4,4
"244","97520",50,12,3,3
"245","97522",2,0,0,0
"246","97523",6,1,0,0
"247","97524",23,4,0,0
"248","97525",5,1,0,0
"249","97526",59,10,0,0
"250","97527",38,4,2,2
"251","97528",1,1,0,0
"252","97530",18,4,1,1
"253","97531",1,0,0,0
"254","97532",9,2,0,0
"255","97534",1,0,0,0
"256","97535",10,2,0,0
"257","97536",1,0,0,0
"258","97537",6,1,0,0
"259","97538",3,0,0,0
"260","97540",10,6,0,0
"261","97541",1,0,0,0
"262","97543",1,0,0,0
"263","97544",2,0,0,0
"264","97601",17,10,2,2
"265","97602",1,0,0,0
"266","97603",28,7,1,1
"267","97624",4,0,0,0
"268","97626",1,0,0,0
"269","97627",2,0,0,0
"270","97630",5,0,0,0
"271","97632",2,0,0,0
"272","97633",1,1,0,0
"273","97639",1,0,0,0
"274","97701",81,17,2,2
"275","97702",68,12,3,3
"276","97707",3,2,0,0
"277","97708",2,0,0,0
"278","97720",10,2,1,1
"279","97730",1,1,0,0
"280","97732",3,0,0,0
"281","97734",6,0,0,0
"282","97737",1,0,0,0
"283","97738",3,0,0,0
"284","97739",8,0,0,0
"285","97741",19,4,1,1
"286","97750",1,0,0,0
"287","97753",4,1,0,0
"288","97754",20,2,0,0
"289","97756",47,11,0,0
"290","97759",20,3,1,1
"291","97760",10,1,0,0
"292","97761",3,0,0,0
"293","97801",27,3,1,1
"294","97810",1,0,0,0
"295","97812",2,1,0,0
"296","97813",4,1,0,0
"297","97814",11,4,0,0
"298","97818",2,0,0,0
"299","97823",9,0,0,0
"300","97824",2,0,0,0
"301","97826",1,1,0,0
"302","97827",1,0,0,0
"303","97828",3,3,1,1
"304","97833",1,0,0,0
"305","97834",1,0,0,0
"306","97836",17,1,0,0
"307","97838",37,3,0,0
"308","97839",1,0,0,0
"309","97843",2,0,0,0
"310","97844",7,2,0,0
"311","97845",2,0,0,0
"312","97846",3,0,0,0
"313","97850",9,2,0,0
"314","97862",13,1,1,1
"315","97868",1,0,0,0
"316","97869",2,0,0,0
"317","97882",4,0,0,0
"318","97883",1,0,0,0
"319","97886",3,0,0,0
"320","97905",1,0,0,0
"321","97906",2,0,0,0
"322","97913",5,0,0,0
"323","97914",14,2,1,1
"324","97918",6,0,0,0
