LAT,LON
0.376508070000000E+02,-0.756506460000000E+02
0.376492270000000E+02,-0.756519950000000E+02
0.376402780000000E+02,-0.756560580000000E+02
0.376400030000000E+02,-0.756565190000000E+02
0.376403470000000E+02,-0.756570370000000E+02
0.376397290000000E+02,-0.756576990000000E+02
0.376375770000000E+02,-0.756583620000000E+02
0.376361800000000E+02,-0.756581900000000E+02
0.376350590000000E+02,-0.756589680000000E+02
0.376330680000000E+02,-0.756622210000000E+02
0.376272540000000E+02,-0.756660230000000E+02
0.376259260000000E+02,-0.756663400000000E+02
0.376255840000000E+02,-0.756656200000000E+02
0.376251320000000E+02,-0.756656500000000E+02
0.376227440000000E+02,-0.756668030000000E+02
0.376224920000000E+02,-0.756682420000000E+02
0.376209810000000E+02,-0.756711200000000E+02
0.376194480000000E+02,-0.756726740000000E+02
0.376229050000000E+02,-0.756739980000000E+02
0.376233860000000E+02,-0.756755230000000E+02
0.376242790000000E+02,-0.756761280000000E+02
0.376273010000000E+02,-0.756770180000000E+02
0.376282850000000E+02,-0.756765000000000E+02
0.376295900000000E+02,-0.756741100000000E+02
0.376311690000000E+02,-0.756733040000000E+02
0.376354280000000E+02,-0.756740800000000E+02
0.376384960000000E+02,-0.756771030000000E+02
0.376439220000000E+02,-0.756788870000000E+02
0.376450430000000E+02,-0.756797790000000E+02
0.376450430000000E+02,-0.756797790000000E+02
0.376511130000000E+02,-0.756824460000000E+02
0.376511130000000E+02,-0.756824460000000E+02
0.376524600000000E+02,-0.756823120000000E+02
0.376578170000000E+02,-0.756785400000000E+02
0.376613660000000E+02,-0.756772720000000E+02
0.376621210000000E+02,-0.756772720000000E+02
0.376645020000000E+02,-0.756789420000000E+02
0.376701320000000E+02,-0.756803280000000E+02
0.376709580000000E+02,-0.756800650000000E+02
0.376709580000000E+02,-0.756795750000000E+02
0.376580900000000E+02,-0.756635950000000E+02
0.376549300000000E+02,-0.756604000000000E+02
0.376522270000000E+02,-0.756549020000000E+02
0.376508070000000E+02,-0.756506460000000E+02
END,END
0.376153000000000E+02,-0.756506010000000E+02
0.376180930000000E+02,-0.756520670000000E+02
0.376192150000000E+02,-0.756534200000000E+02
0.376198570000000E+02,-0.756559810000000E+02
0.376210930000000E+02,-0.756561240000000E+02
0.376213220000000E+02,-0.756546850000000E+02
0.376204500000000E+02,-0.756495910000000E+02
0.376187330000000E+02,-0.756473470000000E+02
0.376155960000000E+02,-0.756453340000000E+02
0.376077670000000E+02,-0.756451080000000E+02
0.376047250000000E+02,-0.756546920000000E+02
0.376045420000000E+02,-0.756569650000000E+02
0.376052750000000E+02,-0.756593240000000E+02
0.376078860000000E+02,-0.756608200000000E+02
0.376103800000000E+02,-0.756611640000000E+02
0.376095560000000E+02,-0.756558410000000E+02
0.376097610000000E+02,-0.756538840000000E+02
0.376141320000000E+02,-0.756503710000000E+02
0.376153000000000E+02,-0.756506010000000E+02
END,END
0.376026590000000E+02,-0.756395860000000E+02
0.376036660000000E+02,-0.756389820000000E+02
0.376038720000000E+02,-0.756380030000000E+02
0.376025900000000E+02,-0.756371410000000E+02
0.375954920000000E+02,-0.756366560000000E+02
0.375943250000000E+02,-0.756380090000000E+02
0.375932960000000E+02,-0.756409160000000E+02
0.375936170000000E+02,-0.756420380000000E+02
0.375947620000000E+02,-0.756426410000000E+02
0.376024540000000E+02,-0.756414280000000E+02
0.376026590000000E+02,-0.756395860000000E+02
END,END
0.375943000000000E+02,-0.756326870000000E+02
0.375945530000000E+02,-0.756345570000000E+02
0.375956980000000E+02,-0.756355340000000E+02
0.375995670000000E+02,-0.756357900000000E+02
0.376002540000000E+02,-0.756351860000000E+02
0.376000920000000E+02,-0.756321930000000E+02
0.375963810000000E+02,-0.756282830000000E+02
0.375952600000000E+02,-0.756284280000000E+02
0.375946650000000E+02,-0.756292050000000E+02
0.375943000000000E+02,-0.756326870000000E+02
END,END
