"","Zipcodes","InquiryMale","InquiryFemale","InquiryTotal","InquiryMalePercentage","InquiryFemalePercentage","AppliedMale","AppliedFemale","AppliedTotal","AppliedMalePercentage","AppliedFemalePercentage","AcceptedMale","AcceptedFemale","AcceptedTotal","AcceptedMalePercentage","AcceptedFemalePercentage","EnrolledMale","EnrolledFemale","EnrolledTotal","EnrolledMalePercentage","EnrolledFemalePercentage"
"636","94541",0,1,1,0,1,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
"637","94542",1,2,3,0.333333333333333,0.666666666666667,1,1,2,0.5,0.5,0,0,0,NA,NA,0,0,0,NA,NA
"638","94544",3,5,8,0.375,0.625,2,0,2,0,1,0,0,0,NA,NA,0,0,0,NA,NA
"639","94545",3,2,5,0.6,0.4,1,0,1,0,1,0,0,0,NA,NA,0,0,0,NA,NA
"640","94546",2,6,8,0.25,0.75,0,1,1,1,0,0,0,0,NA,NA,0,0,0,NA,NA
"641","94547",4,5,9,0.444444444444444,0.555555555555556,2,1,3,0.333333333333333,0.666666666666667,0,0,0,NA,NA,0,0,0,NA,NA
"642","94549",7,8,15,0.466666666666667,0.533333333333333,4,3,7,0.428571428571429,0.571428571428571,0,0,0,NA,NA,0,0,0,NA,NA
"643","94550",2,5,7,0.285714285714286,0.714285714285714,1,1,2,0.5,0.5,1,0,1,1,0,1,1,2,0.5,0.5
"644","94551",0,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,NA,NA
"645","94552",2,3,5,0.4,0.6,1,1,2,0.5,0.5,0,0,0,NA,NA,0,0,0,NA,NA
"646","94553",3,8,11,0.272727272727273,0.727272727272727,2,1,3,0.333333333333333,0.666666666666667,0,0,0,NA,NA,0,0,0,NA,NA
"647","94555",2,3,5,0.4,0.6,1,1,2,0.5,0.5,0,0,0,NA,NA,0,0,0,NA,NA
"648","94556",8,6,14,0.571428571428571,0.428571428571429,3,3,6,0.5,0.5,0,0,0,NA,NA,0,0,0,NA,NA
"649","94558",7,9,16,0.4375,0.5625,2,3,5,0.6,0.4,0,0,0,NA,NA,0,0,0,NA,NA
"650","94559",1,2,3,0.333333333333333,0.666666666666667,1,1,2,0.5,0.5,0,0,0,NA,NA,0,0,0,NA,NA
"651","94560",1,1,2,0.5,0.5,1,0,1,0,1,0,0,0,NA,NA,0,0,0,NA,NA
"652","94561",1,1,2,0.5,0.5,1,0,1,0,1,0,0,0,NA,NA,0,0,0,NA,NA
"653","94563",1,8,9,0.111111111111111,0.888888888888889,1,3,4,0.75,0.25,0,0,0,NA,NA,0,0,0,NA,NA
"654","94564",4,3,7,0.571428571428571,0.428571428571429,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
"655","94565",6,10,16,0.375,0.625,1,1,2,0.5,0.5,0,0,0,NA,NA,0,0,0,NA,NA
"656","94566",4,9,13,0.307692307692308,0.692307692307692,0,6,6,1,0,0,0,0,NA,NA,0,0,0,NA,NA
"657","94568",2,4,6,0.333333333333333,0.666666666666667,2,0,2,0,1,0,0,0,NA,NA,0,0,0,NA,NA
"658","94571",1,1,2,0.5,0.5,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
"659","94572",0,1,1,0,1,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
"660","94574",2,3,5,0.4,0.6,0,2,2,1,0,0,0,0,NA,NA,0,0,0,NA,NA
"661","94577",3,6,9,0.333333333333333,0.666666666666667,0,3,3,1,0,0,1,1,0,1,0,0,0,NA,NA
"662","94578",4,2,6,0.666666666666667,0.333333333333333,1,2,3,0.666666666666667,0.333333333333333,0,0,0,NA,NA,0,0,0,NA,NA
"663","94579",2,4,6,0.333333333333333,0.666666666666667,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
"664","94580",1,2,3,0.333333333333333,0.666666666666667,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
"665","94582",2,3,5,0.4,0.6,1,1,2,0.5,0.5,0,1,1,0,1,0,0,0,NA,NA
"666","94583",5,8,13,0.384615384615385,0.615384615384615,0,1,1,1,0,0,0,0,NA,NA,0,0,0,NA,NA
"667","94585",1,4,5,0.2,0.8,0,1,1,1,0,0,0,0,NA,NA,0,0,0,NA,NA
"668","94587",1,5,6,0.166666666666667,0.833333333333333,0,1,1,1,0,0,0,0,NA,NA,0,0,0,NA,NA
"669","94588",2,4,6,0.333333333333333,0.666666666666667,1,2,3,0.666666666666667,0.333333333333333,0,0,0,NA,NA,0,0,0,NA,NA
"670","94589",1,2,3,0.333333333333333,0.666666666666667,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
"671","94590",2,0,2,1,0,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
"672","94591",3,7,10,0.3,0.7,1,2,3,0.666666666666667,0.333333333333333,0,1,1,0,1,0,0,0,NA,NA
"673","94595",0,2,2,0,1,0,1,1,1,0,0,0,0,NA,NA,0,0,0,NA,NA
